       t                    x1                   y1                  x2               y2                 E         I      
           0.10600000E+02          -0.63376583E+02          -0.30207128E+01           0.56395674E+02           0.47193601E+01           0.37897445E+02           0.93557968E+00
           0.10700000E+02          -0.64029134E+02          -0.30615413E+01           0.56969945E+02           0.47581457E+01           0.37897445E+02           0.93557968E+00
           0.10800000E+02          -0.64681681E+02          -0.31023697E+01           0.57544211E+02           0.47969310E+01           0.37897445E+02           0.93557968E+00
           0.10900000E+02          -0.65334225E+02          -0.31431979E+01           0.58118474E+02           0.48357161E+01           0.37897445E+02           0.93557968E+00
           0.11000000E+02          -0.65986767E+02          -0.31840260E+01           0.58692734E+02           0.48745008E+01           0.37897445E+02           0.93557968E+00
           0.11100000E+02          -0.66639305E+02          -0.32248539E+01           0.59266989E+02           0.49132853E+01           0.37897445E+02           0.93557968E+00
           0.11200000E+02          -0.67291841E+02          -0.32656816E+01           0.59841242E+02           0.49520695E+01           0.37897445E+02           0.93557968E+00
           0.11300000E+02          -0.67944374E+02          -0.33065092E+01           0.60415491E+02           0.49908534E+01           0.37897445E+02           0.93557968E+00
           0.11400000E+02          -0.68596904E+02          -0.33473367E+01           0.60989736E+02           0.50296371E+01           0.37897445E+02           0.93557968E+00
           0.11500000E+02          -0.69249431E+02          -0.33881640E+01           0.61563979E+02           0.50684205E+01           0.37897445E+02           0.93557968E+00
           0.11600000E+02          -0.69901956E+02          -0.34289912E+01           0.62138218E+02           0.51072037E+01           0.37897445E+02           0.93557968E+00
           0.11700000E+02          -0.70554478E+02          -0.34698182E+01           0.62712454E+02           0.51459866E+01           0.37897445E+02           0.93557968E+00
           0.11800000E+02          -0.71206997E+02          -0.35106451E+01           0.63286687E+02           0.51847692E+01           0.37897445E+02           0.93557968E+00
           0.11900000E+02          -0.71859514E+02          -0.35514719E+01           0.63860917E+02           0.52235517E+01           0.37897445E+02           0.93557968E+00
           0.12000000E+02          -0.72512029E+02          -0.35922986E+01           0.64435144E+02           0.52623339E+01           0.37897445E+02           0.93557968E+00
           0.12100000E+02          -0.73164541E+02          -0.36331251E+01           0.65009368E+02           0.53011158E+01           0.37897445E+02           0.93557968E+00
           0.12200000E+02          -0.73817051E+02          -0.36739515E+01           0.65583590E+02           0.53398976E+01           0.37897445E+02           0.93557968E+00
           0.12300000E+02          -0.74469558E+02          -0.37147777E+01           0.66157808E+02           0.53786791E+01           0.37897445E+02           0.93557968E+00
           0.12400000E+02          -0.75122063E+02          -0.37556039E+01           0.66732024E+02           0.54174604E+01           0.37897445E+02           0.93557968E+00
