                           h                    analytic                     3 point                     5 point
      0.2669007753134467E+00      0.2691134105994275E+01      0.2686512599369201E+01      0.2691197266295270E+01
      0.2695697830665812E+00      0.2691134105994275E+01      0.2686419380004463E+01      0.2691199808190718E+01
      0.2722654808972470E+00      0.2691134105994275E+01      0.2686324273698055E+01      0.2691202451909700E+01
      0.2749881357062195E+00      0.2691134105994275E+01      0.2686227241986613E+01      0.2691205201499817E+01
      0.2777380170632817E+00      0.2691134105994275E+01      0.2686128245613801E+01      0.2691208061169879E+01
      0.2805153972339146E+00      0.2691134105994275E+01      0.2686027244511382E+01      0.2691211035293626E+01
      0.2833205512062537E+00      0.2691134105994275E+01      0.2685924197783878E+01      0.2691214128418428E+01
      0.2861537567183163E+00      0.2691134105994275E+01      0.2685819063686511E+01      0.2691217345265864E+01
      0.2890152942854994E+00      0.2691134105994275E+01      0.2685711799613681E+01      0.2691220690747301E+01
      0.2919054472283544E+00      0.2691134105994275E+01      0.2685602362074154E+01      0.2691224169962387E+01
      0.2948245017006380E+00      0.2691134105994275E+01      0.2685490706678633E+01      0.2691227788215126E+01
      0.2977727467176443E+00      0.2691134105994275E+01      0.2685376788114170E+01      0.2691231551012531E+01
      0.3007504741848208E+00      0.2691134105994275E+01      0.2685260560129138E+01      0.2691235464079263E+01
      0.3037579789266689E+00      0.2691134105994275E+01      0.2685141975511279E+01      0.2691239533363169E+01
      0.3067955587159356E+00      0.2691134105994275E+01      0.2685020986067242E+01      0.2691243765043680E+01
      0.3098635143030949E+00      0.2691134105994275E+01      0.2684897542602664E+01      0.2691248165542437E+01
      0.3129621494461259E+00      0.2691134105994275E+01      0.2684771594899291E+01      0.2691252741530437E+01
      0.3160917709405872E+00      0.2691134105994275E+01      0.2684643091693203E+01      0.2691257499937657E+01
      0.3192526886499930E+00      0.2691134105994275E+01      0.2684511980653471E+01      0.2691262447964597E+01
      0.3224452155364930E+00      0.2691134105994275E+01      0.2684378208358441E+01      0.2691267593091398E+01
      0.3256696676918579E+00      0.2691134105994275E+01      0.2684241720272214E+01      0.2691272943088262E+01
      0.3289263643687765E+00      0.2691134105994275E+01      0.2684102460720888E+01      0.2691278506026893E+01
      0.3322156280124642E+00      0.2691134105994275E+01      0.2683960372868142E+01      0.2691284290292032E+01
      0.3355377842925889E+00      0.2691134105994275E+01      0.2683815398688722E+01      0.2691290304591244E+01
      0.3388931621355148E+00      0.2691134105994275E+01      0.2683667478946027E+01      0.2691296557971652E+01
      0.3422820937568700E+00      0.2691134105994275E+01      0.2683516553162156E+01      0.2691303059827530E+01
      0.3457049146944386E+00      0.2691134105994275E+01      0.2683362559593492E+01      0.2691309819916761E+01
      0.3491619638413830E+00      0.2691134105994275E+01      0.2683205435200922E+01      0.2691316848371290E+01
      0.3526535834797969E+00      0.2691134105994275E+01      0.2683045115625054E+01      0.2691324155715643E+01
      0.3561801193145948E+00      0.2691134105994275E+01      0.2682881535154453E+01      0.2691331752877440E+01
      0.3597419205077408E+00      0.2691134105994275E+01      0.2682714626697597E+01      0.2691339651204400E+01
      0.3633393397128182E+00      0.2691134105994275E+01      0.2682544321752196E+01      0.2691347862478958E+01
      0.3669727331099464E+00      0.2691134105994275E+01      0.2682370550375470E+01      0.2691356398936085E+01
      0.3706424604410459E+00      0.2691134105994275E+01      0.2682193241150468E+01      0.2691365273276948E+01
      0.3743488850454563E+00      0.2691134105994275E+01      0.2682012321156677E+01      0.2691374498690061E+01
