  Protons  Neutrons  Experimental Binding Energy  Experimental Error  Theoretical Binding Energy  Theoretical Error 
      13        23          -0.274440E+03               0.149508E+00                  -0.272490E+03                       0.374136E-06
      13        24          -0.278652E+03               0.180227E+00                  -0.274151E+03                       0.392862E-06
      13        25          -0.280323E+03               0.374452E+00                  -0.273722E+03                       0.448771E-06
      13        26          -0.283952E+03               0.390000E+00                  -0.274193E+03                       0.477395E-06
      13        27          -0.285073E+03               0.400000E+00                  -0.272722E+03                       0.536308E-06
      13        28          -0.287321E+03               0.492000E+00                  -0.272177E+03                       0.572854E-06
      13        29          -0.288701E+03               0.588000E+00                  -0.269817E+03                       0.634450E-06
      13        30          -0.289856E+03               0.817000E+00                  -0.268398E+03                       0.677361E-06
      14         8          -0.133268E+03               0.506000E+00                  -0.123043E+03                       0.397023E-06
      14         9          -0.150987E+03               0.506000E+00                  -0.146967E+03                       0.334223E-06
      14        10          -0.172006E+03               0.194640E-01                  -0.170017E+03                       0.298894E-06
      14        11          -0.186995E+03               0.100000E-01                  -0.188378E+03                       0.259424E-06
      14        12          -0.206034E+03               0.104000E-03                  -0.206405E+03                       0.245473E-06
      14        13          -0.219349E+03               0.108000E-03                  -0.220430E+03                       0.221539E-06
      14        14          -0.236529E+03               0.100000E-05                  -0.234494E+03                       0.219930E-06
      14        15          -0.245002E+03               0.100000E-05                  -0.245078E+03                       0.206187E-06
      14        16          -0.255612E+03               0.300000E-04                  -0.255962E+03                       0.211407E-06
      14        17          -0.262199E+03               0.310000E-04                  -0.263770E+03                       0.206240E-06
      14        18          -0.271399E+03               0.288000E-03                  -0.272064E+03                       0.216951E-06
      14        19          -0.275907E+03               0.693000E-03                  -0.277603E+03                       0.221385E-06
      14        20          -0.283421E+03               0.141100E-01                  -0.283760E+03                       0.238437E-06
      14        21          -0.285927E+03               0.358400E-01                  -0.287421E+03                       0.253588E-06
      14        22          -0.292043E+03               0.717840E-01                  -0.291796E+03                       0.277727E-06
      14        23          -0.294249E+03               0.113812E+00                  -0.293887E+03                       0.303247E-06
      14        24          -0.299920E+03               0.104804E+00                  -0.296759E+03                       0.334279E-06
      14        25          -0.301500E+03               0.135525E+00                  -0.297525E+03                       0.368710E-06
      14        26          -0.306462E+03               0.345120E+00                  -0.299120E+03                       0.405868E-06
      14        27          -0.307844E+03               0.554689E+00                  -0.298758E+03                       0.447554E-06
      14        28          -0.311548E+03               0.504000E+00                  -0.299257E+03                       0.489968E-06
      14        29          -0.312989E+03               0.602000E+00                  -0.297928E+03                       0.537500E-06
      14        30          -0.315648E+03               0.616000E+00                  -0.297483E+03                       0.584396E-06
      14        31          -0.314767E+03               0.720000E+00                  -0.295319E+03                       0.636688E-06
      15         9          -0.148647E+03               0.504000E+00                  -0.141584E+03                       0.406929E-06
      15        10          -0.170291E+03               0.400000E+00                  -0.166613E+03                       0.326818E-06
      15        11          -0.187139E+03               0.208000E+00                  -0.186966E+03                       0.318416E-06
      15        12          -0.206903E+03               0.263520E-01                  -0.206874E+03                       0.256997E-06
      15        13          -0.221400E+03               0.114800E-02                  -0.222775E+03                       0.269231E-06
      15        14          -0.239276E+03               0.348000E-03                  -0.238605E+03                       0.220499E-06
      15        15          -0.250596E+03               0.600000E-04                  -0.250942E+03                       0.244514E-06
      15        16          -0.262907E+03               0.100000E-05                  -0.263474E+03                       0.204573E-06
      15        17          -0.270842E+03               0.320000E-04                  -0.272913E+03                       0.234697E-06
      15        18          -0.280946E+03               0.108900E-02                  -0.282740E+03                       0.202657E-06
      15        19          -0.287229E+03               0.816000E-03                  -0.289793E+03                       0.236899E-06
      15        20          -0.295609E+03               0.185500E-02                  -0.297375E+03                       0.214411E-06
      15        21          -0.299074E+03               0.131040E-01                  -0.302443E+03                       0.252734E-06
      15        22          -0.305890E+03               0.379620E-01                  -0.308141E+03                       0.242015E-06
      15        23          -0.309587E+03               0.725800E-01                  -0.311539E+03                       0.284590E-06
      15        24          -0.315811E+03               0.112632E+00                  -0.315643E+03                       0.286425E-06
      15        25          -0.319222E+03               0.153600E+00                  -0.317624E+03                       0.333038E-06
      15        26          -0.324159E+03               0.120171E+00                  -0.320365E+03                       0.346476E-06
      15        27          -0.326241E+03               0.314370E+00                  -0.321135E+03                       0.396712E-06
      15        28          -0.330642E+03               0.554700E+00                  -0.322703E+03                       0.419979E-06
