    x             ground state                1st excited            2nd excited   
  -13.383458646616543        9.4718288263952724E-065   8.1037442019809262E-063   8.7200744810145850E-064
  -13.283208020050125        0.0000000000000000        2.4957513940931492E-064   2.3372881134685583E-064
  -13.182957393483710        9.4718288263952724E-065   4.9363389112876330E-063   1.3765916886255189E-062
  -13.082706766917294        5.9198930164970453E-066   1.7317003418756353E-064   9.7747479390598505E-069
  -12.982456140350877        1.4799732541242613E-066   3.3687316878583966E-065   1.1786710544053959E-063
  -12.882205513784461        0.0000000000000000        4.7752368084902465E-064   6.4331431252558285E-065
  -12.781954887218046        3.7887315305581090E-064   6.0124063285047228E-063   8.8495602886354969E-069
  -12.681704260651630        0.0000000000000000        8.8912483420861087E-064   6.2000570569911839E-066
  -12.581453634085214        5.9198930164970453E-066   1.8335230918830962E-067   3.4736768882915491E-064
  -12.481203007518797        3.7887315305581090E-064   1.5946267821748094E-063   2.2548624336856314E-062
  -12.380952380952381        1.5154926122232436E-063   2.0096270553820609E-064   4.7279487428744587E-061
  -12.280701754385966        2.3679572065988181E-065   3.3842008729442637E-062   3.2429174952757643E-060
  -12.180451127819548        8.5246459437557452E-064   3.3506331542756494E-061   3.4183533018016513E-059
  -12.080200501253133        9.4718288263952729E-063   2.8393557589453505E-060   3.2403088173211610E-058
  -11.979949874686717        1.1936872278464643E-061   2.6038656906643325E-059   3.1202175566581679E-057
  -11.879699248120302        1.1253479828640224E-060   2.3948348218736686E-058   2.9359132931194198E-056
  -11.779448621553886        9.8322115636073684E-060   2.2893006994539999E-057   2.7151061213701127E-055
  -11.679197994987469        9.1339118611847953E-059   2.1156972562397851E-056   2.4683468730872255E-054
  -11.578947368421053        8.3761173079450902E-058   1.9190192445058999E-055   2.2052954520194200E-053
  -11.478696741854638        7.5338587630471725E-057   1.7104388710170669E-054   1.9357962508171312E-052
  -11.378446115288220        6.6835074260330997E-056   1.4981659718719487E-053   1.6692825188833507E-051
  -11.278195488721805        5.8384136179928738E-055   1.2889960683257939E-052   1.4140334911761092E-050
